nose_x,nose_y,L_eye_x,L_eye_y,R_eye_x,R_eye_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,L_shoulder_x,L_shoulder_y,R_shoulder_x,R_shoulder_y
530.1468, 243.3431, 359.82, 226.9813, 590.366, 390.211, 279.8276, 376.4247, 433.8679, 308.6742, 476.8343, 264.3878, 403.0533, 255.5103
531.0687, 241.4348, 359.9195, 221.8761, 593.1442, 392.5596, 281.3524, 377.3537, 436.4326, 308.326, 478.9418, 263.955, 404.187, 256.3554
531.6559, 242.2206, 359.1465, 225.4101, 590.8816, 389.4421, 281.4356, 377.0798, 438.7181, 310.7393, 481.2081, 267.3125, 406.625, 258.4025
532.4444, 246.555, 360.3911, 227.0813, 592.391, 391.0243, 283.0843, 375.6552, 434.8076, 312.382, 478.5787, 268.8629, 404.2842, 257.9791
531.5969, 247.4827, 359.7304, 223.386, 592.9299, 394.3637, 282.1186, 379.8339, 435.9225, 312.0516, 479.1449, 268.3847, 404.8822, 258.8876
532.6716, 246.1504, 360.6653, 225.3359, 594.9771, 392.3612, 282.7974, 377.4688, 437.4868, 314.2107, 479.8015, 270.3262, 405.4449, 262.0505
530.9152, 247.8961, 359.2913, 229.4915, 591.8483, 391.6157, 278.738, 381.0321, 437.3582, 316.9743, 479.4609, 271.833, 405.1814, 264.1801
531.3327, 244.5316, 359.5385, 227.6231, 591.1117, 393.2858, 278.0273, 381.3052, 437.0155, 316.3753, 479.4145, 272.8121, 405.6882, 264.9509
532.3016, 250.7543, 361.3708, 233.1517, 591.8818, 393.5688, 282.1567, 380.9766, 436.7533, 315.0041, 479.8002, 271.0186, 404.8141, 263.2027
533.0475, 249.5458, 359.7381, 231.9726, 590.5173, 392.6035, 279.7511, 377.9189, 436.3652, 314.067, 479.0873, 270.2905, 404.5564, 262.136
531.3452, 249.29, 359.3575, 231.0811, 590.3223, 393.4019, 280.4766, 380.9818, 437.3162, 313.7704, 480.0423, 270.15, 405.3805, 262.0205
532.3006, 248.7565, 359.806, 230.8614, 590.17, 392.9579, 280.9814, 378.6732, 425.4663, 242.9752, 456.451, 207.0756, 396.1814, 206.0355
499.9182, 184.2777, 360.5898, 182.7411, 569.4872, 313.277, 298.2419, 313.0693, 425.1655, 242.65, 456.5933, 206.5928, 395.6647, 205.315
498.7144, 184.7272, 358.2505, 182.5471, 567.5429, 312.1369, 295.5518, 313.6075, 424.4068, 241.9218, 455.3044, 206.0689, 395.1489, 204.92
497.4335, 183.8846, 358.4807, 182.2273, 568.572, 312.9964, 294.1494, 315.1951, 424.3183, 242.0785, 455.2137, 205.5621, 394.9196, 204.8586
498.1436, 182.7122, 358.7938, 181.8607, 569.6982, 314.058, 294.5243, 316.0067, 425.0341, 241.7868, 456.0276, 205.6737, 396.0627, 204.4225
